door_count,fiscal_power,mileage,price,year,publication_Year,publication_Month,publication_Day,publication_Weekday,Is_Weekend,Days_since_posted,Alloy_wheels,Airbags,Air_conditioning,Navigation_system,Sunroof,Leather_seats,Parking_sensors,Rear_camera,Electric_windows,ABS,ESP,Cruise_control,Speed_limiter,CD/MP3/Bluetooth,On_board_computer,Central_locking,brand,condition,fuel_type,model,origin,first_owner,sector,seller_city,transmission
5.0,6.0,62499.0,115000.0,2020.0,2025.0,1.0,12.0,1,0,108.0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,2.0,0.0,0.0,4.0,0.0,1.0,2.0,29.0,0.0
5.0,6.0,174999.0,92000.0,2017.0,2025.0,2.0,11.0,3,0,78.0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,3.0,0.0,0.0,6.0,0.0,0.0,17.0,476.0,0.0
3.0,9.0,224999.0,65000.0,2009.0,2025.0,2.0,11.0,3,0,78.0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,5.0,2.0,0.0,23.0,0.0,1.0,2.0,36.0,0.0
5.0,6.0,37499.0,149000.0,2021.0,2024.0,10.0,14.0,2,0,198.0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,3.0,0.0,0.0,6.0,0.0,1.0,3.0,38.0,0.0
5.0,8.0,144999.0,210000.0,2015.0,2025.0,3.0,19.0,4,0,42.0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,9.0,0.0,0.0,98.0,0.0,0.0,3.0,9.0,1.0
5.0,6.0,92499.0,138000.0,2020.0,2025.0,1.0,12.0,1,0,108.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,9.0,0.0,1.0,10.0,28.0,0.0
5.0,8.0,224999.0,410000.0,2018.0,2025.0,3.0,29.0,7,1,32.0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,8.0,0.0,0.0,38.0,2.0,1.0,7.0,5.0,1.0
5.0,8.0,144999.0,188000.0,2015.0,2025.0,2.0,11.0,3,0,78.0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,8.0,1.0,0.0,94.0,0.0,1.0,0.0,11.0,1.0
5.0,6.0,82499.0,220000.0,2017.0,2025.0,4.0,4.0,6,1,26.0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,4.0,1.0,0.0,43.0,0.0,1.0,0.0,13.0,1.0
5.0,8.0,184999.0,120000.0,2013.0,2025.0,1.0,12.0,1,0,108.0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,18.0,1.0,0.0,30.0,0.0,0.0,4.0,176.0,0.0
5.0,7.0,374999.0,65000.0,2006.0,2025.0,2.0,11.0,3,0,78.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3.0,2.0,0.0,102.0,1.0,0.0,1.0,248.0,0.0
5.0,6.0,114999.0,175000.0,2013.0,2025.0,4.0,3.0,5,0,27.0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,8.0,1.0,0.0,29.0,0.0,1.0,0.0,13.0,1.0
5.0,6.0,134999.0,136000.0,2018.0,2025.0,2.0,11.0,3,0,78.0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,51.0,0.0
5.0,8.0,17499.0,34000.0,2009.0,2024.0,10.0,14.0,2,0,198.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.0,0.0,1.0,36.0,0.0,0.0,0.0,2.0,0.0
5.0,11.0,77499.0,610000.0,2020.0,2025.0,2.0,11.0,3,0,78.0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,23.0,0.0,1.0,136.0,2.0,1.0,4.0,102.0,1.0
5.0,8.0,194999.0,310000.0,2018.0,2025.0,2.0,11.0,3,0,78.0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,4.0,0.0,0.0,34.0,0.0,1.0,2.0,304.0,1.0
5.0,6.0,274999.0,50000.0,2006.0,2025.0,4.0,9.0,4,0,21.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5.0,1.0,0.0,19.0,0.0,0.0,11.0,62.0,0.0
5.0,7.0,194999.0,55000.0,2004.0,2025.0,3.0,13.0,5,0,48.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,15.0,1.0,1.0,339.0,0.0,0.0,16.0,0.0,0.0
5.0,8.0,274999.0,78000.0,2006.0,2025.0,1.0,12.0,1,0,108.0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,12.0,1.0,0.0,171.0,0.0,0.0,4.0,68.0,0.0
5.0,6.0,134999.0,150000.0,2017.0,2024.0,12.0,13.0,6,1,138.0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,5.0,0.0,0.0,125.0,0.0,0.0,5.0,5.0,1.0
5.0,9.0,274999.0,90000.0,2006.0,2025.0,2.0,11.0,3,0,78.0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,61.0,1.0
5.0,8.0,2499.0,75000.0,2008.0,2024.0,12.0,13.0,6,1,138.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,2.0,0.0,11.0,0.0,0.0,8.0,82.0,0.0
5.0,6.0,72499.0,165000.0,2020.0,2025.0,4.0,6.0,1,0,24.0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,2.0,0.0,0.0,3.0,2.0,1.0,9.0,8.0,0.0
3.0,7.0,154999.0,60000.0,2000.0,2025.0,3.0,13.0,5,0,48.0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,22.0,2.0,1.0,229.0,1.0,0.0,3.0,4.0,0.0
5.0,6.0,2499.0,259000.0,2024.0,2025.0,4.0,12.0,7,1,18.0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0.0,3.0,1.0,22.0,1.0,1.0,1.0,5.0,1.0
