brand,condition,door_count,first_owner,fiscal_power,fuel_type,mileage,model,origin,price,sector,seller_city,transmission,year,publication_Year,publication_Month,publication_Day,publication_Weekday,Is_Weekend,Days_since_posted,Alloy_wheels,Airbags,Air_conditioning,Navigation_system,Sunroof,Leather_seats,Parking_sensors,Rear_camera,Electric_windows,ABS,ESP,Cruise_control,Speed_limiter,CD/MP3/Bluetooth,On_board_computer,Central_locking
hyundai,Excellent,5,Non,6,diesel,134999,Elantra,WW au Maroc,150000,Fes,Centre,Automatique,2017,2024,12,13,6,1,138,True,True,True,False,False,False,True,False,False,True,True,False,True,True,True,False
mercedes-benz,Excellent,5,Non,9,diesel,274999,220,Dédouanée,90000,Agadir,Abattoirs,Automatique,2006,2025,2,11,3,0,78,True,True,True,False,False,False,True,False,False,False,True,False,True,True,True,False
hyundai,Bon,5,Non,8,diesel,2499,Tucson,WW au Maroc,75000,Sale,El Qaria,Manuelle,2008,2024,12,13,6,1,138,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
dacia,Excellent,5,Oui,6,diesel,72499,Duster,Importée neuve,165000,Tétouan,Centre ville,Manuelle,2020,2025,4,6,1,0,24,True,True,True,False,True,False,True,False,False,True,True,False,True,True,True,False
suzuki,Bon,3,Non,7,essence,154999,Jimny,Dédouanée,60000,Rabat,Agdal,Manuelle,2000,2025,3,13,5,0,48,True,True,False,False,True,False,True,False,False,True,True,False,False,True,False,False
volkswagen,Neuf,5,Oui,6,essence,2499,Polo,Dédouanée,259000,Tanger,Centre,Automatique,2024,2025,4,12,7,1,18,True,True,True,False,True,False,True,False,False,True,True,False,True,True,True,False
volkswagen,Bon,5,Oui,8,diesel,324999,Golf 5,WW au Maroc,80000,Agadir,Autre secteur,Manuelle,2009,2025,4,3,5,0,27,True,True,True,False,False,False,False,False,False,True,True,False,False,True,True,False
fiat,Bon,5,Non,6,diesel,114999,500X,WW au Maroc,137000,Tanger,Ahlane,Manuelle,2017,2025,1,12,1,0,108,True,True,True,False,False,False,True,False,False,True,True,False,True,True,True,False
land rover,Excellent,5,Non,12,diesel,72499,Range Rover Sport,WW au Maroc,635000,Casablanca,Casablanca Finance City,Automatique,2021,2025,4,12,7,1,18,True,True,True,False,True,False,True,False,False,True,True,False,True,True,True,False
peugeot,Excellent,5,Non,6,diesel,194999,301,WW au Maroc,97000,Agadir,Autre secteur,Manuelle,2015,2025,4,5,7,1,25,False,True,True,False,False,False,True,False,False,True,True,False,False,True,True,False
peugeot,Neuf,5,Non,6,diesel,7499,2008,WW au Maroc,320000,Casablanca,Hay Albaraka,Automatique,2023,2025,3,13,5,0,48,True,True,True,False,True,False,True,False,False,True,True,False,True,True,True,False
ford,Très bon,5,Non,6,diesel,174999,Fiesta,WW au Maroc,90000,Casablanca,Sidi Moumen,Manuelle,2012,2025,4,3,5,0,27,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False
renault,Excellent,5,Non,6,diesel,154999,Megane,WW au Maroc,125000,Marrakech,Hay Izdihar,Manuelle,2016,2025,1,12,1,0,108,True,True,True,False,False,False,True,False,False,True,True,False,True,True,True,False
mazda,Bon,5,Non,8,essence,114999,Mazda 2,WW au Maroc,55000,Kenitra,Maamora,Manuelle,2009,2025,3,15,7,1,46,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
land rover,Excellent,5,Non,8,diesel,114999,Range Rover Evoque,WW au Maroc,250000,Rabat,Hassan,Automatique,2017,2025,1,12,1,0,108,True,True,True,False,False,False,True,False,False,True,True,False,True,True,True,False
dacia,Excellent,5,Oui,6,diesel,274999,Dokker,WW au Maroc,113000,Meknes,Wislane,Manuelle,2019,2025,3,17,2,0,44,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
opel,Excellent,5,Oui,6,essence,82499,Corsa,WW au Maroc,125000,Fes,Narjis,Manuelle,2022,2025,4,12,7,1,18,False,True,True,False,False,False,True,False,False,True,True,False,True,True,True,False
land rover,Très bon,5,Non,8,diesel,164999,Range Rover Evoque,WW au Maroc,260000,Marrakech,Mabrouka,Automatique,2017,2025,3,13,5,0,48,True,True,True,False,True,False,True,False,False,True,True,False,True,True,True,False
bmw,Excellent,5,Non,8,diesel,114999,Série 3,WW au Maroc,345000,Casablanca,Ain Sebaa,Automatique,2019,2025,4,12,7,1,18,True,True,True,False,False,False,True,False,False,True,True,False,True,True,True,False
volkswagen,Très bon,5,Non,8,diesel,224999,Passat,WW au Maroc,139000,Kenitra,Centre,Automatique,2011,2025,2,11,3,0,78,True,True,True,False,False,False,True,False,False,True,True,False,True,True,True,False
land rover,Excellent,5,Oui,8,diesel,174999,Range Rover Vogue,Importée neuve,250000,Casablanca,Californie,Automatique,2017,2025,3,13,5,0,48,True,True,True,False,True,False,True,False,False,True,True,False,True,True,False,False
mercedes-benz,Excellent,5,Non,6,diesel,154999,Classe A,Dédouanée,185000,Tanger,Centre ville,Automatique,2015,2025,2,11,3,0,78,True,True,True,False,True,False,True,False,False,True,True,False,True,True,True,False
dacia,Très bon,5,Oui,6,diesel,224999,Logan,WW au Maroc,97000,Casablanca,Aïn Chock,Manuelle,2018,2025,3,13,5,0,48,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False
volkswagen,Excellent,5,Oui,6,diesel,124999,Polo,WW au Maroc,105000,Fes,Route d'Immouzere,Manuelle,2013,2025,4,4,6,1,26,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
audi,Neuf,5,Oui,12,diesel,57499,Q7,WW au Maroc,390000,Casablanca,Belvédère,Automatique,2019,2025,4,11,6,1,19,True,True,True,False,False,False,True,False,False,True,True,False,True,True,True,False
cupra,Très bon,5,Oui,11,essence,42499,Formentor,Importée neuve,440000,Larache,Toute la ville,Automatique,2021,2025,1,12,1,0,108,True,True,True,False,True,False,True,False,False,True,True,False,True,True,True,False
toyota,Excellent,5,Oui,7,hybride,52499,C-HR,WW au Maroc,255000,Tanger,Algerie,Automatique,2022,2024,12,13,6,1,138,True,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False
peugeot,Excellent,5,Oui,6,diesel,22499,208,WW au Maroc,166000,Rabat,Agdal,Manuelle,2023,2025,3,27,5,0,34,True,True,True,False,False,False,True,False,False,True,True,False,True,True,True,False
dacia,Excellent,5,Non,6,diesel,224999,Dokker,WW au Maroc,131000,Fes,Agdal,Manuelle,2021,2025,2,11,3,0,78,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
mercedes-benz,Très bon,5,Non,16,essence,164999,Classe E,WW au Maroc,95000,Sale,Sala El Jadida,Automatique,2010,2025,2,11,3,0,78,True,True,True,False,False,False,True,False,False,True,True,False,True,True,True,False
peugeot,Excellent,5,Non,7,diesel,104999,Tepee,WW au Maroc,150000,Casablanca,Maarif,Manuelle,2018,2025,4,3,5,0,27,True,True,True,False,False,False,True,False,False,True,True,False,False,True,True,False
land rover,Excellent,5,Oui,12,diesel,184999,Range Rover Sport,Importée neuve,420000,Rabat,Hay Riad,Automatique,2017,2025,4,5,7,1,25,True,True,True,False,True,False,True,False,False,True,True,False,True,True,True,False
dacia,Très bon,5,Non,6,diesel,224999,Dokker,WW au Maroc,105000,Casablanca,Anfa,Manuelle,2016,2025,2,11,3,0,78,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False
